genome,completeness,contamination
subSRR5930502_bin.26.fa,98.1,0.632
SRR6000910_bin.9.fa,84.81,0.632
subSRR6000943_bin.15.fa,79.11,1.265
ERR2162215_bin.12.fa,75.31,2.215
subSRR5930530_bin.40.fa,98.1,0.021
subSRR6000905_bin.5.fa,99.36,0.632
subSRR5930499_bin.34.fa,99.7,0
SRR6000907_bin.37.fa,99.4,0
subSRR5930526_bin.38.fa,89.19,1.183
SRR6000907_bin.25.fa,93,1.289
SRR6000940_bin.7.fa,99.4,0
SRR5930501_bin.73.fa,99.34,0.613
SRR6000932_bin.47.fa,99.28,0.591
subSRR5930509_bin.19.fa,99.32,0
subSRR6000920_bin.6.fa,96.64,0
subSRR6000896_bin.7.fa,99.98,1.497
SRR9033737_bin.6.fa,96.85,0.748
subSRR5930528_bin.1.fa,98.8,0.598
SRR9033745_bin.28.fa,97.51,1.551
subSRR5930506_bin.16.fa,85.45,0
ERR2162219_bin.22.fa,92.41,0.806
subSRR6000869_bin.39.fa,96.77,0
SRR9033722_bin.35.fa,95.92,0.671
subSRR6000892_bin.55.fa,88.76,1.23
SRR5930514_bin.40.fa,97.76,0
SRR6000906_bin.45.fa,99.1,0.167
subSRR9033732_bin.5.fa,95.24,0.356
SRR6000893_bin.5.fa,87.69,0.671
SRR9033722_bin.29.fa,94.4,0.111
ERR2162221_bin.34.fa,78.76,0.503
subSRR5930507_bin.23.fa,96.37,0.294
subSRR5930509_bin.32.fa,98.79,0.268
subSRR5930528_bin.39.fa,96.37,0.403
subSRR6000892_bin.43.fa,99.19,0.268
SRR9033722_bin.17.fa,99.19,0.268
subSRR5930505_bin.38.fa,77.43,1.101
SRR6000906_bin.36.fa,98.38,0.268
subSRR6000909_bin.4.fa,98.38,0.268
SRR6000894_bin.16.fa,95.96,1.68
subSRR5930507_bin.37.fa,97.14,1.209
SRR5930533_bin.10.fa,99.3,1.165
subSRR6000947_bin.31.fa,99.3,1.165
subSRR5930503_bin.4.fa,99.3,1.165
SRR5930514_bin.19.fa,99.3,1.165
SRR9033745_bin.16.fa,93.56,1.631
SRR5930501_bin.46.fa,92.13,0.582
SRR9033738_bin.1.fa,98.6,1.165
ERR2162221_bin.6.fa,99.3,1.165
SRR6000932_bin.8.fa,88,1.403
SRR9033737_bin.16.fa,97.98,0
ERR2162221_bin.30.fa,84.13,0.403
SRR6000940_bin.16.fa,100,0
SRR9033742_bin.13.fa,91.83,1.7
subSRR5930528_bin.13.fa,95.07,0.671
subSRR5930494_bin.36.fa,98.32,1.342
subSRR5930505_bin.19.fa,87.28,2.125
SRR5930533_bin.15.fa,97.98,0.671
subSRR5930504_bin.3.fa,95.86,2.684
subSRR5930518_bin.16.fa,96.86,0.671
subSRR6000896_bin.28.fa,84.76,2.135
subSRR6000909_bin.34.fa,85.59,1.364
subSRR5930527_bin.45.fa,79.5,3.355
subSRR5930528_bin.36.fa,89.65,1.342
subSRR6000901_bin.27.fa,85.86,1.006
SRR6000902_bin.9.fa,77.33,0.838
SRR9033742_bin.20.fa,82.02,3.467
SRR6000910_bin.32.fa,92.01,0.671
subSRR5930526_bin.34.fa,75.83,0
SRR5930512_bin.24.fa,88.49,2.41
subSRR5930531_bin.15.fa,93.32,0.95
subSRR5930529_bin.28.fa,98.92,0.671
subSRR5930504_bin.54.fa,97.37,1.342
SRR5930534_bin.41.fa,94.62,0.671
subSRR5930530_bin.26.fa,75.13,1.342
subSRR5930502_bin.3.fa,96.64,0
subSRR5930519_bin.24.fa,78.88,3.425
subSRR5930526_bin.7.fa,84.42,0.671
subSRR5930498_bin.48.fa,95.16,0.806
subSRR5930527_bin.50.fa,91.82,1.612
SRR6000932_bin.48.fa,92.85,0.403
subSRR5930516_bin.37.fa,99.4,0
subSRR5930520_bin.17.fa,98.8,0.598
SRR6000903_bin.6.fa,100,0
SRR9033723_bin.8.fa,92.97,2.814
SRR6000946_bin.45.fa,96.34,1.075
subSRR5930494_bin.9.fa,99.16,0.806
SRR5930514_bin.14.fa,93,3.897
subSRR5930498_bin.8.fa,95.96,2.688
subSRR6000892_bin.37.fa,94.52,0.699
ERR2162212_bin.9.fa,97.27,0.167
SRR5930501_bin.62.fa,80.14,0.223
ERR2162201_bin.11.fa,97.94,0
subSRR5930520_bin.3.fa,97.27,0
SRR9033725_bin.7.fa,97.27,0
SRR9033745_bin.20.fa,97.27,0
subSRR5930516_bin.31.fa,97.27,0
ERR2162221_bin.7.fa,96.64,0
SRR6000891_bin.16.fa,97.27,0.335
SRR9033719_bin.24.fa,97.27,0
SRR5930514_bin.22.fa,94.72,0
SRR6000900_bin.4.fa,90.85,2.706
SRR6000893_bin.28.fa,94.75,0
SRR6000942_bin.17.fa,93.68,1.309
SRR9033725_bin.40.fa,93.95,0.806
SRR6000907_bin.24.fa,96.26,1.565
subSRR5930516_bin.47.fa,99.32,0.061
SRR5930517_bin.18.fa,99.32,0.356
SRR5930493_bin.5.fa,98.65,0
SRR6000891_bin.35.fa,95.16,0.026
subSRR5930494_bin.54.fa,95.16,0.026
subSRR6000892_bin.8.fa,95.63,1.342
subSRR6000899_bin.18.fa,91.82,0
SRR9033725_bin.33.fa,95.27,0.715
subSRR5930506_bin.51.fa,94.59,0.675
SRR5930501_bin.24.fa,94.59,0.675
SRR5930501_bin.16.fa,97.9,0.699
subSRR5930527_bin.31.fa,82.87,0.58
subSRR5930532_bin.4.fa,97.65,0
subSRR5930518_bin.3.fa,97.31,0
ERR2162212_bin.13.fa,80.52,2.348
SRR5930523_bin.18.fa,97.31,0.335
subSRR6000947_bin.19.fa,79.47,0.447
subSRR5930519_bin.33.fa,99.32,0
subSRR5930527_bin.48.fa,98.71,0.699
subSRR5930498_bin.55.fa,99.59,0
SRR6000907_bin.39.fa,97.87,0
subSRR5930509_bin.16.fa,97.27,0.34
subSRR5930494_bin.56.fa,99.31,0.68
subSRR5930528_bin.40.fa,86.6,2.437
SRR5930515_bin.10.fa,99.19,0
SRR9033722_bin.21.fa,97.27,1.36
subSRR5930504_bin.1.fa,97.27,0.68
SRR6000946_bin.29.fa,99.19,1.075
ERR2162216_bin.16.fa,98.32,1.565
subSRR5930498_bin.35.fa,98.65,0
subSRR5930527_bin.15.fa,93.49,1.403
SRR6000940_bin.41.fa,94.1,0.671
SRR5930514_bin.1.fa,81.94,0.671
SRR9033722_bin.1.fa,97.65,1.342
subSRR6000920_bin.5.fa,98.65,1.342
SRR9033722_bin.10.fa,94.63,1.342
subSRR6000947_bin.40.fa,97.98,0
subSRR6000869_bin.28.fa,96.64,0
subSRR5930531_bin.7.fa,86.98,0
SRR6000906_bin.30.fa,97.98,0
subSRR5930497_bin.15.fa,95.86,0.671
SRR5930533_bin.23.fa,97.98,0
subSRR5930516_bin.29.fa,95.86,0
subSRR6000892_bin.41.fa,98.35,1.363
ERR2162212_bin.4.fa,88.36,0
SRR5930501_bin.39.fa,88.79,0
SRR6000921_bin.21.fa,86.35,0
SRR5930514_bin.33.fa,85.68,0
SRR9033737_bin.22.fa,82,1.612
subSRR9033746_bin.2.fa,100,0
SRR9033752_bin.12.fa,96.37,0.68
SRR6000906_bin.21.fa,91.34,2.551
subSRR6000895_bin.30.fa,95.47,0
SRR6000894_bin.34.fa,96.11,2.721
SRR6000870_bin.31.fa,90.39,2.721
ERR2162223_bin.5.fa,100,0
SRR5930517_bin.43.fa,100,0
SRR5930533_bin.38.fa,98.57,0.34
subSRR9033747_bin.2.fa,92.67,0
ERR2162218_bin.8.fa,100,0.061
SRR5930493_bin.1.fa,81.08,0.742
SRR5930511_bin.26.fa,95.23,0
SRR6000910_bin.35.fa,90.02,2.721
SRR9033751_bin.17.fa,95.46,0.021
ERR2162213_bin.20.fa,94.15,1.464
SRR5930501_bin.44.fa,93.36,0.021
SRR6000890_bin.1.fa,100,1.02
subSRR5930530_bin.11.fa,98.29,0.34
SRR9033716_bin.6.fa,93.2,0.34
SRR6000871_bin.1.fa,75.32,0
SRR6000946_bin.5.fa,99.31,0
SRR9033742_bin.32.fa,76.48,0.892
subSRR5930536_bin.6.fa,98.63,0
subSRR5930527_bin.33.fa,79.4,0
SRR6000878_bin.11.fa,100,0
SRR6000891_bin.18.fa,94.99,0.113
SRR6000893_bin.16.fa,97.3,2.572
SRR5930493_bin.15.fa,96.15,2.253
SRR6000874_bin.30.fa,89.12,1.02
subSRR6000909_bin.21.fa,100,0
subSRR9033747_bin.24.fa,94.99,0
ERR2162205_bin.18.fa,80.07,3.599
SRR6000911_bin.17.fa,98.27,0.371
SRR6000932_bin.43.fa,94.72,3.918
SRR6000910_bin.37.fa,76.08,1.02
SRR6000894_bin.53.fa,93.27,1.36
subSRR6000905_bin.38.fa,86.63,0
SRR5930501_bin.72.fa,81.01,4.761
subSRR5930504_bin.25.fa,95.53,0
subSRR6000947_bin.36.fa,86.41,9.126
subSRR5930531_bin.28.fa,97.7,0
ERR2162224_bin.10.fa,95.06,0.361
subSRR5930529_bin.13.fa,100,0
ERR2162217_bin.8.fa,100,0
subSRR6000892_bin.33.fa,92.3,0.68
SRR6000894_bin.26.fa,94.57,0.85
SRR6000891_bin.11.fa,99.31,0.17
subSRR6000896_bin.12.fa,99.31,0
SRR5930521_bin.19.fa,99.31,0.34
SRR9033738_bin.4.fa,94.97,1.36
subSRR9033721_bin.18.fa,92.07,1.02
SRR5930510_bin.9.fa,76.33,1.535
SRR6000908_bin.13.fa,99.31,0
subSRR5930504_bin.24.fa,98.22,0
SRR9033718_bin.4.fa,79.94,2.551
SRR6000906_bin.47.fa,98.63,0.68
SRR9033725_bin.26.fa,96.19,0
subSRR5930516_bin.1.fa,89.89,0.34
subSRR6000909_bin.42.fa,97.95,0
subSRR5930506_bin.37.fa,95.91,0
SRR5930510_bin.21.fa,93.34,0.34
subSRR5930509_bin.11.fa,83.46,0.68
SRR5930511_bin.2.fa,97.98,0
subSRR5930526_bin.19.fa,96.94,0
SRR5930523_bin.7.fa,80.14,4.421
SRR6000903_bin.22.fa,97.95,0
subSRR9033747_bin.1.fa,80.92,3.968
subSRR6000869_bin.15.fa,97.98,0
ERR2162221_bin.24.fa,86.99,1.627
SRR6000893_bin.40.fa,91.36,0.335
subSRR6000892_bin.9.fa,93.62,0
subSRR5930520_bin.21.fa,96.97,1.342
subSRR5930502_bin.9.fa,89.04,0
subSRR5930507_bin.28.fa,79.8,1.23
subSRR5930506_bin.45.fa,89.1,2.125
subSRR5930529_bin.14.fa,75.03,1.845
subSRR5930528_bin.43.fa,93.07,0.838
SRR5930501_bin.41.fa,90.19,4.01
SRR6000906_bin.56.fa,84.22,1.006
subSRR6000896_bin.10.fa,96.13,0
subSRR9033746_bin.12.fa,95.03,0
subSRR5930504_bin.47.fa,81.49,2.013
subSRR5930518_bin.40.fa,83.65,1.915
subSRR5930502_bin.22.fa,95.24,1.006
subSRR6000892_bin.12.fa,99.32,0
subSRR5930529_bin.22.fa,99.19,0.134
SRR6000932_bin.5.fa,92.05,1.342
SRR6000946_bin.36.fa,87.91,0.671
SRR5930522_bin.24.fa,89.28,1.342
subSRR5930494_bin.57.fa,91.27,1.489
SRR6000908_bin.17.fa,83.05,0.671
SRR9033724_bin.9.fa,87.73,0.671
SRR6000906_bin.11.fa,91.27,0.671
SRR5930493_bin.30.fa,89.96,0.671
SRR5930522_bin.34.fa,89.26,0
ERR2162212_bin.26.fa,91.94,1.342
SRR5930493_bin.14.fa,93.2,0.732
subSRR9033732_bin.20.fa,90.22,1.342
SRR6000893_bin.13.fa,91.94,0.859
SRR5930514_bin.17.fa,91.21,1.342
SRR6000921_bin.20.fa,85.54,3.691
ERR2162221_bin.21.fa,82.89,5.536
SRR5930534_bin.39.fa,93.28,0.671
subSRR6000920_bin.17.fa,92.61,0.671
subSRR5930530_bin.53.fa,92.61,0.671
SRR5930521_bin.17.fa,87.08,3.02
SRR5930517_bin.6.fa,93.28,0.671
subSRR5930508_bin.25.fa,91.27,0.671
SRR5930514_bin.27.fa,95.97,0.671
SRR5930493_bin.35.fa,87.05,1.403
SRR5930501_bin.15.fa,86,0.671
SRR5930533_bin.26.fa,88.59,0.671
subSRR5930527_bin.16.fa,91.05,0.671
subSRR9033732_bin.3.fa,78.84,2.348
SRR5930511_bin.24.fa,83.53,1.342
ERR2162200_bin.8.fa,86.48,1.454
subSRR5930520_bin.38.fa,96.32,2.013
ERR2162216_bin.9.fa,93.11,5.503
subSRR6000895_bin.43.fa,84.17,2.237
SRR6000902_bin.37.fa,90.93,0
subSRR6000931_bin.51.fa,97.65,0
subSRR5930505_bin.16.fa,95.83,1.342
SRR6000893_bin.32.fa,75.02,4.362
subSRR5930503_bin.6.fa,95.17,0
SRR6000921_bin.36.fa,93.61,1.677
SRR6000906_bin.65.fa,75.4,3.868
ERR2162212_bin.6.fa,95.45,1.006
SRR6000894_bin.41.fa,92.94,2.125
SRR5930513_bin.9.fa,96.3,4.093
subSRR5930499_bin.30.fa,98.65,0.167
subSRR6000901_bin.28.fa,75.95,2.348
SRR9033743_bin.23.fa,87.31,1.677
subSRR5930497_bin.24.fa,86.13,4.786
subSRR6000905_bin.25.fa,93.96,8.16
SRR6000893_bin.2.fa,97.81,1.006
SRR6000894_bin.43.fa,87.58,0.167
SRR5930493_bin.3.fa,88.25,1.342
SRR6000894_bin.54.fa,84.48,2.013
SRR5930493_bin.20.fa,95.97,1.342
ERR2162201_bin.8.fa,90.65,2.168
SRR6000894_bin.51.fa,93.95,2.013
SRR6000906_bin.14.fa,76.62,4.306
subSRR5930505_bin.8.fa,86.76,2.684
SRR6000940_bin.35.fa,90.93,1.342
SRR6000906_bin.17.fa,91.77,1.067
SRR6000891_bin.34.fa,89.29,2.684
SRR6000932_bin.37.fa,90.6,1.006
SRR5930493_bin.4.fa,87.37,0.335
ERR2162218_bin.5.fa,97.98,0
subSRR9033715_bin.13.fa,97.98,0.061
SRR6000932_bin.18.fa,96.64,0
SRR6000902_bin.1.fa,96.64,0
SRR5930517_bin.9.fa,82.88,0.894
SRR5930493_bin.42.fa,87.75,2.013
SRR5930514_bin.16.fa,97.23,0.061
subSRR5930526_bin.39.fa,93.95,0
subSRR5930516_bin.48.fa,97.31,0.081
subSRR6000895_bin.8.fa,95.63,0.223
subSRR5930497_bin.2.fa,92.98,2.41
subSRR5930494_bin.4.fa,93.28,0.732
subSRR5930527_bin.1.fa,91.27,0
SRR5930511_bin.12.fa,89.26,0
SRR9033722_bin.5.fa,92.61,0.671
SRR5930533_bin.40.fa,93.28,0.671
SRR5930510_bin.32.fa,96.4,0.171
SRR6000891_bin.13.fa,90.6,0.671
SRR5930514_bin.12.fa,88.45,1.342
subSRR5930494_bin.30.fa,81.55,1.23
SRR5930501_bin.68.fa,90.57,0.671
SRR5930514_bin.8.fa,90.45,0.223
ERR2162221_bin.10.fa,84.65,1.23
subSRR6000892_bin.28.fa,95.63,0.671
SRR9033722_bin.26.fa,93.84,0.693
SRR5930517_bin.27.fa,95.63,0
subSRR5930495_bin.27.fa,78.07,1.029
subSRR5930528_bin.6.fa,87.77,1.006
subSRR5930499_bin.6.fa,95.97,0.671
subSRR5930498_bin.45.fa,90.93,0.671
subSRR6000909_bin.30.fa,90.93,0
SRR6000870_bin.4.fa,95.97,0.671
SRR9033725_bin.34.fa,95.97,0.671
subSRR6000947_bin.57.fa,95.63,0.671
subSRR5930520_bin.33.fa,91.27,0
SRR5930493_bin.27.fa,88.25,0.671
SRR5930511_bin.20.fa,95.97,2.013
subSRR9033732_bin.12.fa,93.95,0.671
SRR6000921_bin.5.fa,86.91,1.006
subSRR5930506_bin.43.fa,95.3,1.118
SRR9033738_bin.7.fa,93.28,0
subSRR5930509_bin.20.fa,90.63,0.335
subSRR5930497_bin.18.fa,80.03,0.899
SRR5930533_bin.30.fa,92.31,0
SRR6000878_bin.20.fa,84.58,1.565
SRR6000873_bin.4.fa,93.95,0.671
subSRR5930494_bin.16.fa,92.8,1.398
SRR6000946_bin.2.fa,100,0
SRR6000932_bin.35.fa,97.98,2.013
SRR9033745_bin.12.fa,97.68,0
ERR2162216_bin.18.fa,99.32,0.134
subSRR5930528_bin.27.fa,95.91,0
SRR5930515_bin.30.fa,97.98,1.342
subSRR6000901_bin.15.fa,97.98,0
SRR6000940_bin.50.fa,97.98,0.671
subSRR6000877_bin.1.fa,97.31,1.342
SRR6000906_bin.1.fa,96.42,0.671
subSRR5930503_bin.9.fa,93.91,3.04
subSRR5930504_bin.6.fa,98.25,0.699
subSRR5930498_bin.39.fa,92.74,2.62
ERR2162224_bin.6.fa,97.58,0.806
subSRR5930507_bin.19.fa,92.58,1.545
subSRR6000892_bin.26.fa,98.38,0
SRR5930522_bin.6.fa,98.38,0
SRR5930501_bin.35.fa,97.58,0
SRR9033737_bin.26.fa,92.33,0
SRR5930514_bin.39.fa,98.38,0
subSRR5930532_bin.18.fa,99.29,0.704
SRR5930514_bin.34.fa,93.65,1.587
ERR2162203_bin.2.fa,94.6,2.063
SRR9033737_bin.29.fa,95,0.238
subSRR6000895_bin.17.fa,95.95,0
SRR9033745_bin.11.fa,95.47,0.476
subSRR5930520_bin.8.fa,95.56,1.612
SRR5930501_bin.2.fa,99.62,0
SRR9033751_bin.20.fa,99.28,1.497
subSRR5930503_bin.31.fa,94.01,0
subSRR5930516_bin.24.fa,98.03,0.355
SRR9033745_bin.23.fa,96.42,0
subSRR6000895_bin.44.fa,97.67,0.177
SRR9033737_bin.13.fa,97.65,0.355
subSRR5930516_bin.49.fa,98.01,0
ERR2162223_bin.6.fa,96.46,0
subSRR5930520_bin.43.fa,97.97,1.266
subSRR5930531_bin.30.fa,93.44,0.638
SRR9033754_bin.1.fa,96.62,0.506
ERR2162200_bin.4.fa,97.31,2.28
ERR2162223_bin.2.fa,83.61,7.972
subSRR6000905_bin.2.fa,97.97,2.195
SRR5930517_bin.19.fa,94.38,1.689
SRR9033716_bin.8.fa,99.58,0
SRR9033737_bin.4.fa,97.94,0.37
subSRR9033721_bin.7.fa,92.4,0
SRR5930517_bin.14.fa,97.96,0.197
subSRR5930526_bin.22.fa,99.53,0.123
SRR6000893_bin.21.fa,98.51,0
subSRR6000947_bin.15.fa,97.4,0.37
SRR5930501_bin.32.fa,95.55,0.123
ERR2162213_bin.14.fa,98.88,0.185
subSRR5930497_bin.42.fa,99.24,0.74
subSRR5930526_bin.12.fa,88.17,2.345
ERR2162216_bin.19.fa,97.83,0.961
subSRR5930504_bin.42.fa,99.83,0
SRR6000942_bin.11.fa,91.37,8.62
SRR6000940_bin.53.fa,99.91,0.48
subSRR5930529_bin.25.fa,100,0
subSRR5930502_bin.13.fa,99.27,0.48
subSRR6000877_bin.16.fa,99.27,0.48
subSRR5930527_bin.44.fa,98.13,0.961
subSRR9033746_bin.9.fa,99.03,0.48
ERR2162221_bin.28.fa,98.55,0.961
ERR2162203_bin.4.fa,99.51,0.801
subSRR5930497_bin.4.fa,97.75,3.605
SRR6000942_bin.24.fa,86.69,0
subSRR5930499_bin.36.fa,99.51,0.48
subSRR6000892_bin.44.fa,99.51,0.961
subSRR6000877_bin.7.fa,80.44,4.086
SRR6000940_bin.3.fa,100,0
SRR6000906_bin.12.fa,99.03,0
subSRR6000931_bin.38.fa,99.49,0.961
subSRR6000931_bin.53.fa,95.6,0
subSRR6000892_bin.60.fa,97.84,0
ERR2162207_bin.2.fa,98.92,0
subSRR9033746_bin.11.fa,96.77,0
subSRR6000896_bin.26.fa,97.84,0
SRR6000873_bin.16.fa,97.84,0
SRR6000910_bin.1.fa,97.84,0
subSRR6000877_bin.19.fa,99.73,0
ERR2162206_bin.7.fa,97.84,0.608
SRR6000894_bin.23.fa,98.58,1.063
subSRR6000947_bin.37.fa,99.11,0
ERR2162215_bin.3.fa,98.51,0.743
SRR6000946_bin.42.fa,76.2,2.205
SRR5930501_bin.40.fa,89.86,0.373
ERR2162213_bin.17.fa,92.63,0.373
SRR5930533_bin.11.fa,98.74,0
subSRR9033721_bin.14.fa,88.98,2.947
subSRR5930516_bin.3.fa,91.62,3.171
SRR9033742_bin.17.fa,92.39,1.162
ERR2162214_bin.12.fa,84.17,1.958
SRR5930501_bin.6.fa,91.7,0.373
ERR2162215_bin.19.fa,96.57,3.942
SRR6000893_bin.47.fa,94.65,1.43
SRR6000893_bin.56.fa,92.91,1.424
SRR6000893_bin.6.fa,88.78,1.115
subSRR5930499_bin.18.fa,96.15,0.053
ERR2162209_bin.6.fa,99.25,0.321
subSRR6000909_bin.9.fa,97.05,0.269
subSRR5930530_bin.45.fa,81.37,2.261
SRR6000940_bin.58.fa,98.33,0.323
subSRR6000877_bin.21.fa,85.37,0.404
subSRR5930503_bin.36.fa,89.3,0.431
subSRR9033715_bin.15.fa,96.44,0.194
subSRR6000899_bin.21.fa,99.05,0.552
subSRR6000896_bin.17.fa,96.39,0.647
subSRR6000905_bin.41.fa,81.37,4.31
SRR5930513_bin.1.fa,98.94,0.849
SRR6000870_bin.14.fa,99.13,0.04
SRR6000907_bin.28.fa,97.9,0.404
subSRR6000901_bin.9.fa,99.19,0.642
SRR6000932_bin.2.fa,81.37,3.448
SRR6000893_bin.54.fa,97.1,0.185
subSRR6000877_bin.23.fa,97.76,0.371
ERR2162204_bin.2.fa,83.12,0.124
subSRR5930526_bin.8.fa,92.08,3.345
SRR9033723_bin.14.fa,92.01,0
SRR6000912_bin.13.fa,98.98,0
subSRR5930503_bin.2.fa,99.2,0
SRR6000940_bin.61.fa,98.46,0.373
SRR5930510_bin.6.fa,98.02,0
SRR6000902_bin.39.fa,92.59,0
subSRR5930503_bin.7.fa,90.01,0.497
subSRR5930518_bin.21.fa,94.75,1.38
subSRR5930528_bin.19.fa,96.31,0.092
subSRR9033715_bin.3.fa,94.8,0.371
ERR2162219_bin.7.fa,98.56,0.371
subSRR5930527_bin.11.fa,97.48,0.092
subSRR5930495_bin.16.fa,98.88,1.115
SRR5930534_bin.2.fa,99.23,0
subSRR6000909_bin.12.fa,95.51,0.061
SRR5930523_bin.14.fa,99.25,0.185
ERR2162214_bin.3.fa,98.88,0.309
subSRR5930494_bin.33.fa,82.24,0
SRR6000940_bin.26.fa,100,0
SRR6000906_bin.63.fa,98.87,1.201
subSRR9033715_bin.6.fa,98.27,0.691
SRR6000912_bin.10.fa,99.42,0
ERR2162208_bin.5.fa,99.42,0
ERR2162221_bin.23.fa,99.61,0
subSRR5930516_bin.27.fa,99.15,0
SRR9033743_bin.6.fa,98.82,0
SRR6000907_bin.20.fa,97.1,0
SRR6000902_bin.27.fa,89,0.897
SRR6000940_bin.56.fa,91.26,0.927
subSRR6000896_bin.16.fa,99.62,0
subSRR5930495_bin.26.fa,99.51,0.88
SRR9033737_bin.37.fa,98.64,0.503
SRR6000932_bin.3.fa,98.3,0
subSRR6000944_bin.7.fa,95.95,0.188
subSRR5930497_bin.27.fa,99.62,0
SRR5930514_bin.26.fa,81,2.641
subSRR5930516_bin.15.fa,98.49,0
SRR6000893_bin.39.fa,96.6,2.853
ERR2162222_bin.9.fa,96.41,0.377
SRR6000940_bin.13.fa,93.58,0.503
SRR9033738_bin.18.fa,98.32,0.377
subSRR6000931_bin.34.fa,99.05,0.377
subSRR6000896_bin.22.fa,80.87,1.82
SRR9033738_bin.17.fa,96.14,1.342
subSRR6000895_bin.25.fa,96.03,0.786
ERR2162221_bin.27.fa,95.28,0
ERR2162212_bin.29.fa,99.92,0.433
SRR5930501_bin.53.fa,97.87,1.991
subSRR5930499_bin.21.fa,94.57,0.796
SRR6000940_bin.52.fa,95.86,2.264
subSRR9033715_bin.14.fa,95.86,1.132
SRR9033738_bin.5.fa,97.79,0.754
SRR5930501_bin.10.fa,99.51,0
SRR6000940_bin.36.fa,85.95,3.27
SRR9033738_bin.12.fa,80.16,1.657
SRR9033727_bin.9.fa,96.32,0.185
SRR5930501_bin.60.fa,92.71,0.557
subSRR6000947_bin.4.fa,95.33,0
SRR5930501_bin.54.fa,92.04,0.74
subSRR9033746_bin.1.fa,98.11,0.197
SRR5930521_bin.12.fa,99.46,0
SRR6000894_bin.31.fa,98.38,0.268
subSRR6000877_bin.28.fa,99.46,0
subSRR5930527_bin.52.fa,91.99,0.537
SRR9033722_bin.30.fa,99.46,0
subSRR5930509_bin.29.fa,99.46,0
SRR6000940_bin.5.fa,95.97,0.286
subSRR6000931_bin.19.fa,80,2.682
SRR5930514_bin.13.fa,84.75,1.951
